Data,Otwarcie
2022-01-17,2378.9
2022-01-18,2361.68
2022-01-19,2304.66
2022-01-20,2321.6
2022-01-21,2298.12
2022-01-24,2270.73
2022-01-25,2170.85
2022-01-26,2204.53
2022-01-27,2218.18
2022-01-28,2232.26
2022-01-31,2198.34
2022-02-01,2219.99
2022-02-02,2229.44
2022-02-03,2249.4
2022-02-04,2239.14
2022-02-07,2181.87
2022-02-08,2176
2022-02-09,2220.47
2022-02-10,2235.91
2022-02-11,2203.02
2022-02-14,2154.92
2022-02-15,2170.43
2022-02-16,2224.29
2022-02-17,2215.9
2022-02-18,2172.08
2022-02-21,2149.19
2022-02-22,2038.58
2022-02-23,2110.35
2022-02-24,1929.14
2022-02-25,1850.34
2022-02-28,1937.89
2022-03-01,2006.15
2022-03-02,1966.4
2022-03-03,2053.82
2022-03-04,2000.16
2022-03-07,1898.74
2022-03-08,1922.98
2022-03-09,1937.96
2022-03-10,1983.05
2022-03-11,1983.15
2022-03-14,2038.11
2022-03-15,1968.78
2022-03-16,2018.99
2022-03-17,2070.66
2022-03-18,2122.59
2022-03-21,2098.58
2022-03-22,2096.64
2022-03-23,2129.62
2022-03-24,2130.03
2022-03-25,2142.22
2022-03-28,2112.73
2022-03-29,2134.55
2022-03-30,2178.29
2022-03-31,2177.34
2022-04-01,2143.61
2022-04-04,2171.43
2022-04-05,2164.28
2022-04-06,2124.38
2022-04-07,2110.89
2022-04-08,2089.75
2022-04-11,2081.23
2022-04-12,2115.34
2022-04-13,2103.07
2022-04-14,2109.37
2022-04-19,2098.17
2022-04-20,2076.95
2022-04-21,2059.4
2022-04-22,2028.28
2022-04-25,1951.03
2022-04-26,1938.86
2022-04-27,1897.03
2022-04-28,1903.66
2022-04-29,1898.54
2022-05-02,1854.26
2022-05-04,1834.06
2022-05-05,1832.6
2022-05-06,1763.62
2022-05-09,1757.77
2022-05-10,1735.81
2022-05-11,1728.7
2022-05-12,1692.71
2022-05-13,1709.53
2022-05-16,1761.15
2022-05-17,1777.41
2022-05-18,1807.17
2022-05-19,1780.36
2022-05-20,1787.07
2022-05-23,1798.11
2022-05-24,1825.08
2022-05-25,1823.39
2022-05-26,1798.7
2022-05-27,1827.36
2022-05-30,1829.08
2022-05-31,1859.04
2022-06-01,1846.59
2022-06-02,1825.19
2022-06-03,1845.65
2022-06-06,1827.04
2022-06-07,1838.63
2022-06-08,1827.61
2022-06-09,1793.03
2022-06-10,1761.24
2022-06-13,1704.52
2022-06-14,1692.92
2022-06-15,1707.38
2022-06-17,1682.3
2022-06-20,1684.09
2022-06-21,1689.11
2022-06-22,1700.92
2022-06-23,1678.01
2022-06-24,1659.92
2022-06-27,1691.89
2022-06-28,1722.58
2022-06-29,1726.38
2022-06-30,1720.32
2022-07-01,1690.71
2022-07-04,1695.14
2022-07-05,1701.53
2022-07-06,1649.5
2022-07-07,1664.01
2022-07-08,1707.55
2022-07-11,1713.21
2022-07-12,1707.7
2022-07-13,1663.76
2022-07-14,1655.76
2022-07-15,1618.23
2022-07-18,1632.83
