Data,Otwarcie
2022-08-11,179.321
2022-08-12,186.986
2022-08-15,190.214
2022-08-16,188.686
2022-08-17,183.249
2022-08-18,187.626
2022-08-19,178.391
2022-08-22,170.245
2022-08-23,171.715
2022-08-24,172.125
2022-08-25,179.031
2022-08-26,162.51
2022-08-29,157.923
2022-08-30,154.594
2022-08-31,150.856
2022-09-01,139.293
2022-09-02,136.394
2022-09-06,134.576
2022-09-07,137.105
2022-09-08,139.864
2022-09-09,143.833
2022-09-12,145.013
2022-09-13,131.276
2022-09-14,131.246
2022-09-15,129.257
2022-09-16,131.946
2022-09-19,133.786
2022-09-20,131.726
2022-09-21,132.576
2022-09-22,125.578
2022-09-23,125.128
2022-09-26,122.249
2022-09-27,124.098
2022-09-28,127.327
2022-09-29,122.169
2022-09-30,121.359
2022-10-03,125.088
2022-10-04,131.636
2022-10-05,132.056
2022-10-06,131.266
2022-10-07,120.729
2022-10-10,116.67
2022-10-11,115.83
2022-10-12,114.971
2022-10-13,119.569
2022-10-14,112.241
2022-10-17,118.85
2022-10-18,119.639
2022-10-19,120.479
2022-10-20,121.909
2022-10-21,124.628
2022-10-24,125.958
2022-10-25,132.576
2022-10-26,128.927
2022-10-27,131.726
2022-10-28,138.305
2022-10-31,134.935
2022-11-01,135.395
2022-11-02,132.156
2022-11-03,134.176
2022-11-04,141.524
2022-11-07,142.973
2022-11-08,145.983
2022-11-09,137.725
2022-11-10,157.46
2022-11-11,163.228
2022-11-14,162.908
2022-11-15,166.617
2022-11-16,159.059
2022-11-17,156.73
2022-11-18,154.051
2022-11-21,153.131
2022-11-22,160.339
2022-11-23,165.148
2022-11-25,162.658
2022-11-28,158.23
2022-11-29,156.35
2022-11-30,169.23
2022-12-01,171.35
2022-12-02,168.76
2022-12-05,166.1
2022-12-06,159.87
2022-12-07,161.2
2022-12-08,171.69
2022-12-09,170.01
2022-12-12,175.35
2022-12-13,180.72
2022-12-14,176.74
2022-12-15,169.52
2022-12-16,165.71
2022-12-19,162.54
2022-12-20,160.85
2022-12-21,165.01
2022-12-22,153.39
2022-12-23,152.06
2022-12-27,141.21
2022-12-28,140.36
2022-12-29,146.03
2022-12-30,146.14
2023-01-03,143.15
2023-01-04,147.49
2023-01-05,142.65
2023-01-06,148.59
2023-01-09,156.28
2023-01-10,159.09
2023-01-11,160.01
2023-01-12,165.11
2023-01-13,168.99
2023-01-17,177.02
2023-01-18,173.77
2023-01-19,167.65
2023-01-20,178.39
2023-01-23,191.93
2023-01-24,192.65
2023-01-25,193.23
2023-01-26,198.02
2023-01-27,203.65
2023-01-30,191.62
2023-01-31,195.37
2023-02-01,209.43
2023-02-02,217.09
2023-02-03,211
2023-02-06,210.89
2023-02-07,221.73
2023-02-08,222.05
2023-02-09,223.37
2023-02-10,212.65
2023-02-13,217.88
2023-02-14,229.71
2023-02-15,227.64
2023-02-16,220.02
2023-02-17,213.88
2023-02-21,206.55
2023-02-22,207.54
2023-02-23,236.64
2023-02-24,232.86
2023-02-27,235.01
2023-02-28,232.16
2023-03-01,226.98
2023-03-02,233.14
2023-03-03,238.9
2023-03-06,235.54
2023-03-07,232.88
2023-03-08,241.81
2023-03-09,234.36
2023-03-10,229.65
2023-03-13,229.66
2023-03-14,240.63
2023-03-15,242.28
2023-03-16,255.41
2023-03-17,257.25
2023-03-20,259
2023-03-21,261.99
2023-03-22,264.68
2023-03-23,271.91
2023-03-24,267.79
2023-03-27,265.31
2023-03-28,264.1
2023-03-29,269.84
2023-03-30,273.83
2023-03-31,277.77
2023-04-03,279.65
2023-04-04,274.53
2023-04-05,268.81
2023-04-06,270.37
2023-04-10,275.79
2023-04-11,271.69
2023-04-12,264.95
2023-04-13,264.63
2023-04-14,267.58
2023-04-17,270.02
2023-04-18,276.67
2023-04-19,279.31
2023-04-20,271.04
2023-04-21,271.19
2023-04-24,270.42
2023-04-25,262.41
2023-04-26,269.56
2023-04-27,272.26
2023-04-28,277.49
2023-05-01,289.1
2023-05-02,282.1
2023-05-03,278.02
2023-05-04,275.62
2023-05-05,286.8
2023-05-08,291.51
2023-05-09,285.71
2023-05-10,288.85
2023-05-11,285.78
2023-05-12,283.4
2023-05-15,289.53
2023-05-16,292.13
2023-05-17,301.78
2023-05-18,316.78
2023-05-19,312.64
2023-05-22,311.76
2023-05-23,306.88
2023-05-24,305.38
2023-05-25,379.8
2023-05-26,389.46
2023-05-30,401.11
2023-05-31,378.34
2023-06-01,397.7
2023-06-02,393.27
2023-06-05,391.71
2023-06-06,386.54
2023-06-07,374.75
2023-06-08,385.1
2023-06-09,387.7
2023-06-12,394.82
2023-06-13,410.22
2023-06-14,429.97
2023-06-15,426.53
2023-06-16,426.92
2023-06-20,438.08
2023-06-21,430.45
2023-06-22,430.25
2023-06-23,422.09
2023-06-26,406.32
2023-06-27,418.76
2023-06-28,411.17
2023-06-29,408.22
2023-06-30,423.02
2023-07-03,424.13
2023-07-05,423.17
2023-07-06,421.03
2023-07-07,425.03
2023-07-10,421.8
2023-07-11,424.05
2023-07-12,439.02
2023-07-13,459.77
2023-07-14,454.69
2023-07-17,464.61
2023-07-18,474.94
2023-07-19,470.77
2023-07-20,455.2
2023-07-21,443.09
2023-07-24,446.12
2023-07-25,456.79
2023-07-26,454.52
2023-07-27,459
2023-07-28,467.5
2023-07-31,467.29
2023-08-01,465.07
2023-08-02,442.69
2023-08-03,445.15
2023-08-04,446.8
2023-08-07,454.165
2023-08-08,446.64
2023-08-09,425.54
2023-08-10,423.88
2023-08-11,408.55
2023-08-14,437.53
2023-08-15,439.4
2023-08-16,434.86
2023-08-17,433.435
2023-08-18,432.99
2023-08-21,469.67
2023-08-22,456.68
2023-08-23,471.16
2023-08-24,471.63
2023-08-25,460.18
2023-08-28,468.35
2023-08-29,487.84
2023-08-30,492.64
2023-08-31,493.55
2023-09-01,485.09
2023-09-05,485.48
2023-09-06,470.61
2023-09-07,462.41
2023-09-08,455.72
2023-09-11,451.78
2023-09-12,448.7
2023-09-13,454.85
2023-09-14,455.81
2023-09-15,439
2023-09-18,439.66
2023-09-19,435.2
2023-09-20,422.39
2023-09-21,410.17
2023-09-22,416.1
2023-09-25,422.22
2023-09-26,419.11
2023-09-27,424.68
2023-09-28,430.89
2023-09-29,434.99
2023-10-02,447.82
2023-10-03,435.17
2023-10-04,440.41
2023-10-05,446.88
2023-10-06,457.62
2023-10-09,452.73
2023-10-10,457.98
2023-10-11,468.06
2023-10-12,469.45
2023-10-13,454.61
2023-10-16,460.95
2023-10-17,439.38
2023-10-18,421.96
2023-10-19,421.01
2023-10-20,413.87
2023-10-23,429.75
2023-10-24,436.63
2023-10-25,417.79
2023-10-26,403.26
2023-10-27,405
2023-10-30,411.61
2023-10-31,407.8
2023-11-01,423.25
2023-11-02,435.06
2023-11-03,450.05
2023-11-06,457.51
2023-11-07,459.55
2023-11-08,465.74
2023-11-09,469.5
2023-11-10,483.35
2023-11-13,486.2
2023-11-14,496.56
2023-11-15,488.88
2023-11-16,494.8
2023-11-17,492.98
2023-11-20,504.09
2023-11-21,499.44
2023-11-22,487.16
2023-11-24,477.76
2023-11-27,482.42
2023-11-28,478.21
2023-11-29,481.4
2023-11-30,467.7
2023-12-01,467.65
2023-12-04,455.1
2023-12-05,465.66
2023-12-06,455.03
2023-12-07,465.96
2023-12-08,475.06
2023-12-11,466.27
2023-12-12,476.57
2023-12-13,480.88
2023-12-14,483.5
2023-12-15,488.9
2023-12-18,500.77
2023-12-19,496.04
2023-12-20,481.11
2023-12-21,489.9
2023-12-22,488.3
2023-12-26,492.79
2023-12-27,494.17
2023-12-28,495.22
2023-12-29,495.22
2024-01-02,481.68
2024-01-03,475.69
2024-01-04,479.98
2024-01-05,490.97
2024-01-08,522.53
2024-01-09,531.4
2024-01-10,543.5
2024-01-11,548.22
2024-01-12,547.1
2024-01-16,563.82
2024-01-17,560.53
2024-01-18,571.07
2024-01-19,594.91
2024-01-22,596.54
2024-01-23,598.73
2024-01-24,613.62
2024-01-25,616.17
2024-01-26,610.31
2024-01-29,624.65
2024-01-30,627.74
2024-01-31,615.27
2024-02-01,630.27
2024-02-02,661.6
2024-02-05,693.32
2024-02-06,682.23
2024-02-07,700.99
2024-02-08,696.41
2024-02-09,721.33
2024-02-12,722.48
2024-02-13,721.28
2024-02-14,739
2024-02-15,726.58
2024-02-16,726.13
2024-02-20,694.52
2024-02-21,674.72
2024-02-22,785.38
2024-02-23,788.17
2024-02-26,790.92
2024-02-27,787.01
2024-02-28,776.63
2024-02-29,791.12
2024-03-01,822.79
2024-03-04,852.37
2024-03-05,859.64
2024-03-06,887
2024-03-07,926.69
2024-03-08,875.28
2024-03-11,857.74
2024-03-12,919.13
2024-03-13,908.88
2024-03-14,879.44
2024-03-15,878.365
2024-03-18,884.55
2024-03-19,893.98
2024-03-20,903.72
2024-03-21,914.35
2024-03-22,942.89
